i,lat,long
182,42.02742828895725,-88.15216431802625
182,41.746310955227194,-87.68438433033245
182,41.724156962353966,-87.54748322901592
182,41.681532829317064,-88.08590297127385
182,41.74350709138379,-87.54727289982264
183,41.73903925036406,-87.69237033424635
184,42.02742828895725,-88.15216431802625
184,41.91593260546358,-87.65414322367972
184,41.74003219604492,-87.6994857788086
184,41.74791717529297,-87.69656372070312
184,41.85002899169922,-87.6500473022461
187,41.75134415120966,-87.55587361269794
187,41.4962693,-87.66353430000001
187,41.75016215000001,-87.67829075
187,41.77268505540835,-87.62534000263612
187,41.75148575,-87.5862343
189,41.81543670000001,-87.61832315000001
190,41.75084835,-87.62582355
190,41.89110065097819,-87.6140032617778
190,41.75778579711914,-87.59471893310547
191,40.795834222977724,-89.58915886754637
191,41.89110065097819,-87.6140032617778
193,42.01954777573649,-88.34303023043499
194,41.890812800000006,-87.63132305
194,41.877557754527515,-87.76151587746426
195,41.904214394196174,-87.63793529990113
195,41.883392333984375,-87.67159271240234
196,41.87094657114104,-87.77429677577251
196,41.90339775374893,-87.75352578080714
196,42.32558059692383,-87.84117889404297
196,41.903903597876706,-87.75314530873311
198,38.62802585875681,-90.2125366285167
201,41.89110065097819,-87.6140032617778
202,41.753424064768865,-87.6398144179388
202,41.890886906954414,-87.62668770012148
203,41.486466050000004,-87.9271839
203,41.724156962353966,-87.54748322901592
203,41.7801513671875,-87.74019622802734
204,41.81691034378506,-87.5981974491986
208,41.89110065097819,-87.6140032617778
208,41.724156962353966,-87.54748322901592
208,38.24080395537847,-87.04105855029823
208,41.724156962353966,-87.54748322901592
209,42.29815426504011,-87.8502197556453
209,41.89110065097819,-87.6140032617778
209,41.89110065097819,-87.6140032617778
209,41.55584876232634,-87.27655746580925
209,41.9123881,-88.18467225
209,41.89110065097819,-87.6140032617778
209,40.54698563288823,-88.9733411760326
209,41.89110065097819,-87.6140032617778
209,41.89110065097819,-87.6140032617778
209,37.74737799437466,-122.3862295563983
210,41.85002899169922,-87.6500473022461
210,41.76517868041992,-87.6592788696289
210,41.724156962353966,-87.54748322901592
210,41.89110065097819,-87.6140032617778
210,41.87094657114104,-87.77429677577251
210,41.890812800000006,-87.63132305
210,41.89318801417585,-87.76549992420678
210,41.724156962353966,-87.54748322901592
210,41.76555252075195,-87.6094970703125
210,41.920704661259144,-87.70256836055559
210,41.89229151450878,-87.60530413228989
210,41.9159049987793,-87.6948471069336
210,41.724156962353966,-87.54748322901592
210,41.76521301269531,-87.627685546875
210,41.78079851902704,-87.63226474939076
210,41.76157760620117,-87.65743255615234
211,40.669055150000005,-89.58018140000001
211,41.61584111322418,-71.6031545
211,41.89110065097819,-87.6140032617778
212,41.89110065097819,-87.6140032617778
212,41.85002899169922,-87.6500473022461
215,42.29815426504011,-87.8502197556453
215,41.89110065097819,-87.6140032617778
215,41.89110065097819,-87.6140032617778
215,41.55584876232634,-87.27655746580925
215,41.9123881,-88.18467225
215,41.89110065097819,-87.6140032617778
215,40.54698563288823,-88.9733411760326
215,41.89110065097819,-87.6140032617778
215,37.74737799437466,-122.3862295563983
216,41.89110065097819,-87.6140032617778
216,28.07001931833929,-80.68216803442397
216,41.90310075039997,-87.77493857614122
216,42.29815426504011,-87.8502197556453
216,41.890812800000006,-87.63132305
217,42.30588158224413,-87.86635059560028
217,41.529872194781085,-87.87831378432887
218,41.869205253233545,-87.65378273873318
218,41.771671295166016,-88.14847564697266
218,41.89110065097819,-87.6140032617778
218,41.89110065097819,-87.6140032617778
219,41.48086929321289,-87.6378173828125
219,41.89110065097819,-87.6140032617778
219,40.613057798444935,-88.7469848178034
219,41.89110065097819,-87.6140032617778
222,41.87094657114104,-87.77429677577251
222,41.89043045043945,-87.63665771484375
222,41.96168555,-87.66232930000001
222,41.877728060060235,-87.75489264799762
223,41.89229151450878,-87.60530413228989
223,41.925988600000004,-87.63191195000002
225,41.65026755,-87.61722355
225,41.76521682739258,-87.60506439208984
225,41.89110065097819,-87.6140032617778
227,41.89110065097819,-87.6140032617778
227,41.89110065097819,-87.6140032617778
233,40.50934093360251,-88.98409827238183
233,41.89229151450878,-87.60530413228989
233,41.96597822950884,-87.66205362245752
233,41.85002899169922,-87.6500473022461
233,41.78079851902704,-87.63226474939076
233,42.324588775634766,-87.86835479736328
233,41.724156962353966,-87.54748322901592
233,41.86183287373405,-87.64950090530532
233,41.84801595,-87.70443865
233,41.87094657114104,-87.77429677577251
233,41.890812800000006,-87.63132305
233,41.87780337461316,-87.7734807172891
233,41.53621647154348,-87.63053032480612
233,41.724156962353966,-87.54748322901592
233,41.726657125714155,-87.56109619140625
234,41.724156962353966,-87.54748322901592
234,42.324588775634766,-87.86835479736328
235,38.810522130378075,-89.93121245503207
235,41.89110065097819,-87.6140032617778
235,41.48805618286133,-88.20299530029297
236,41.75702297460538,-87.56587986658018
240,41.9915334,-87.799273
240,41.89229151450878,-87.60530413228989
240,41.90932083129883,-87.72685241699219
241,40.50934093360251,-88.98409827238183
241,41.89229151450878,-87.60530413228989
241,41.96597822950884,-87.66205362245752
241,41.961822509765625,-87.659912109375
242,41.89110065097819,-87.6140032617778
242,45.59571009292235,-122.75097644489045
242,41.89110065097819,-87.6140032617778
242,41.89095725,-87.62413875000001
243,41.78079851902704,-87.63226474939076
243,41.89110065097819,-87.6140032617778
243,41.76774597167969,-87.67377471923828
244,41.89110065097819,-87.6140032617778
246,41.78079851902704,-87.63226474939076
246,41.724156962353966,-87.54748322901592
246,41.76774597167969,-87.67377471923828
246,40.50934093360251,-88.98409827238183
246,41.89229151450878,-87.60530413228989
246,41.96597822950884,-87.66205362245752
246,41.961822509765625,-87.659912109375
246,41.78079851902704,-87.63226474939076
246,42.324588775634766,-87.86835479736328
246,41.724156962353966,-87.54748322901592
246,41.724156962353966,-87.54748322901592
246,41.73891830444336,-87.56167602539062
246,41.8746422,-87.70594160000002
246,56.030934162147354,-3.3989130344630785
246,41.724156962353966,-87.54748322901592
247,41.89110065097819,-87.6140032617778
247,41.89110065097819,-87.6140032617778
247,41.89110065097819,-87.6140032617778
247,41.89110065097819,-87.6140032617778
248,41.948849086011634,-87.72073790140104
249,41.88021589921781,-87.72809397456594
252,41.87094657114104,-87.77429677577251
252,41.890812800000006,-87.63132305
252,41.88792407708839,-87.75321510930088
256,41.90943780540602,-88.19595096708417
256,41.81538005024522,-87.63933134045202
256,41.87094657114104,-87.77429677577251
256,41.884856808570476,-87.74139108965892
257,41.81538005024522,-87.63933134045202
258,41.89229151450878,-87.60530413228989
258,41.884856808570476,-87.74139108965892
258,42.307289123535156,-87.85054016113281
259,41.89229151450878,-87.60530413228989
259,42.01283862795651,-87.66285584967443
259,42.01040905083956,-87.66148848122093
260,41.773357850000004,-87.61866925000001
260,41.89110065097819,-87.6140032617778
260,41.88475036621094,-88.2039566040039
261,41.89110065097819,-87.6140032617778
261,41.89110065097819,-87.6140032617778
261,-8.73960468467269,115.21225701173152
261,41.89110065097819,-87.6140032617778
263,41.84469425,-87.62808885000001
263,41.85002899169922,-87.6500473022461
263,41.84469425,-87.62808885000001
264,41.89110065097819,-87.6140032617778
264,38.64239120065636,-88.92766506237254
264,41.79567337036133,-87.67338562011719
264,41.89110065097819,-87.6140032617778
264,41.86056665,-87.63903015000001
270,37.93866457740432,-88.89222778628242
270,41.724156962353966,-87.54748322901592
270,41.710819114332885,-87.56455209930134
270,41.48086929321289,-87.6378173828125
271,41.89110065097819,-87.6140032617778
273,41.90349319080297,-87.66696756997999
273,41.89110065097819,-87.6140032617778
275,41.86233901977539,-87.72900390625
279,41.710819114332885,-87.56455209930134
279,41.85002899169922,-87.6500473022461
280,42.29192890345679,-87.86416083311397
281,41.68096463156142,-87.54239049360194
282,41.75601372270901,-87.59459164268549
282,41.76555252075195,-87.6094970703125
289,41.75601372270901,-87.59459164268549
289,41.7495002746582,-87.5897216796875
289,41.76555252075195,-87.6094970703125
290,29.01675431533709,-81.61108973501162
290,41.82257215,-87.6816561
290,41.89110065097819,-87.6140032617778
290,41.691824240207055,-87.60965446086657
290,41.91711613265555,-88.33401990348845
291,41.823373912518704,-89.48448160763104
296,41.89789890360706,-88.2230607872286
296,41.858260563440126,-87.65155138288537
296,41.74900817871094,-87.73736572265625
296,41.87094657114104,-87.77429677577251
296,41.890812800000006,-87.63132305
296,41.87527084350586,-87.74280548095703
296,41.99902660000001,-87.6555079
296,41.853338203876774,-87.66119416781395
296,41.938289287502265,-87.88196204301019
296,41.798580169677734,-87.72120666503906
297,41.89789890360706,-88.2230607872286
297,41.858260563440126,-87.65155138288537
297,41.74900817871094,-87.73736572265625
298,41.89110065097819,-87.6140032617778
298,41.89110065097819,-87.6140032617778
298,41.724156962353966,-87.54748322901592
298,41.80825424194336,-87.66426086425781
299,41.72514265000001,-87.54891845
300,41.97960365,-87.8253695
301,41.86183287373405,-87.64950090530532
301,41.84049987792969,-87.72106170654297
302,41.713661916141135,-87.59220878290449
302,41.77619800721953,-87.59315911973164
302,41.79532241821289,-87.80126953125
302,41.89110065097819,-87.6140032617778
303,41.89229151450878,-87.60530413228989
303,38.64239120065636,-88.92766506237254
303,41.97550359890883,-87.7684702790808
304,42.25343322753906,-89.14847564697266
305,41.89789890360706,-88.2230607872286
305,41.858260563440126,-87.65155138288537
305,41.74900817871094,-87.73736572265625
305,41.89229151450878,-87.60530413228989
305,41.74909973144531,-87.73189544677734
305,41.89110065097819,-87.6140032617778
305,41.724156962353966,-87.54748322901592
305,41.7894349411419,-87.62075357227128
307,38.69907672704205,-90.16588198400228
307,41.70327377319336,-87.62884521484375
307,41.85002899169922,-87.6500473022461
308,42.396043048709686,-88.14262827452181
308,42.063498550000006,-88.32628565
308,41.70327377319336,-87.62884521484375
308,41.724156962353966,-87.54748322901592
308,40.50934093360251,-88.98409827238183
308,41.89229151450878,-87.60530413228989
308,41.96378333615735,-87.65349578859696
308,41.79387414085752,-87.68387359325466
308,41.691059700000004,-87.72032285
308,40.290118983839726,-109.8598735007048
309,41.79387414085752,-87.68387359325466
309,41.691059700000004,-87.72032285
309,41.76131155948513,-87.71006853298132
309,41.87448445488417,-87.73067249972155
310,41.85002899169922,-87.6500473022461
312,41.53808141344411,-77.0409060694434
312,41.90394420997211,-88.18473793344687
312,41.70327377319336,-87.62884521484375
312,41.89110065097819,-87.6140032617778
312,41.70146976010492,-87.76450168159784
317,41.46200180053711,-87.64989471435547
317,41.81484013847652,-87.64448086682357
317,41.81484013847652,-87.64448086682357
318,41.89110065097819,-87.6140032617778
318,41.89110065097819,-87.6140032617778
318,41.89110065097819,-87.6140032617778
320,36.87595066198644,-76.24957501778773
320,34.2225015,-118.44885935000002
320,34.04961271324004,-118.20963598916526
320,41.736641786885905,-87.69469959501436
320,41.724156962353966,-87.54748322901592
321,41.52248001098633,-88.07098388671875
321,41.85002899169922,-87.6500473022461
322,41.862551552203485,-88.19651404157425
322,41.8510839343071,-87.68052446842194
322,41.75765932772331,-87.64906819619951
327,40.669055150000005,-89.58018140000001
327,39.17631896572002,-89.66747736900895
327,38.69907672704205,-90.16588198400228
327,38.810522130378075,-89.93121245503207
327,39.17631896572002,-89.66747736900895
327,38.69907672704205,-90.16588198400228
329,41.89110065097819,-87.6140032617778
330,41.7360638145686,-87.5822830217466
330,41.89110065097819,-87.6140032617778
331,41.78055953979492,-87.63539123535156
331,41.49187088012695,-87.63673400878906
331,41.89110065097819,-87.6140032617778
331,41.868745031774864,-87.64535602047116
332,41.89110065097819,-87.6140032617778
332,41.860306200000004,-87.6487812
332,41.49187088012695,-87.63673400878906
332,41.9283731,-87.6902078
332,41.868745031774864,-87.64535602047116
334,41.65026755,-87.61722355
334,41.51173643785769,-90.4462097745894
